layer,oracle_true,norm,cosine_to_centroid,raw_projection_on_centroid,centroid_sum_contribution,leave_one_out_centroid_cosine,leave_one_out_delta
0,False,0.013465013355016708,-0.02701166830956936,-0.00036371260648593307,,,
1,False,0.01599281281232834,-0.01715732365846634,-0.00027439408586360514,,,
2,False,0.02138509415090084,-0.02583463117480278,-0.0005524761509150267,,,
3,False,0.029546411707997322,-0.010254943743348122,-0.00030299718491733074,,,
4,False,0.044297702610492706,0.000957859680056572,4.243086732458323e-05,,,
5,False,0.07020188122987747,-0.01857185550034046,-0.0013037794269621372,,,
6,False,0.0794927254319191,-0.023334795609116554,-0.0018549468368291855,,,
7,False,0.12780524790287018,-0.02666165679693222,-0.0034075004514306784,,,
8,False,0.22554700076580048,0.0019730236381292343,0.0004450082778930664,,,
9,False,0.28757694363594055,-0.020304545760154724,-0.005839116871356964,,,
10,False,0.33458176255226135,-0.0007519014179706573,-0.00025157188065350056,,,
11,False,0.39643436670303345,0.005026187747716904,0.0019925518427044153,,,
12,False,0.4784843623638153,0.027778537943959236,0.013291597366333008,,,
13,False,0.5592896342277527,0.02589569240808487,0.014483196660876274,,,
14,False,0.7575177550315857,0.04700791835784912,0.03560933098196983,,,
15,False,1.0146172046661377,0.045209258794784546,0.0458701029419899,,,
16,False,1.5590075254440308,0.09866645932197571,0.15382175147533417,,,
17,False,2.2035865783691406,0.1605699062347412,0.3538297116756439,,,
18,False,3.2025861740112305,0.22474902868270874,0.7197781801223755,,,
19,False,5.125845432281494,0.31094786524772644,1.5938708782196045,,,
20,False,6.243869781494141,0.36174237728118896,2.2586722373962402,,,
21,False,7.940352439880371,0.4093741774559021,3.250575304031372,,,
22,False,10.017579078674316,0.5290089845657349,5.299388885498047,,,
23,False,13.456120491027832,0.64720219373703,8.708830833435059,,,
24,True,17.836580276489258,0.7735790014266968,13.798006057739258,0.07032536376606334,0.9971798062324524,0.0028201937675476074
25,True,19.954477310180664,0.8294011354446411,16.55026626586914,0.0754001032222401,0.9977768659591675,0.0022231340408325195
26,True,22.847625732421875,0.8715103268623352,19.911945343017578,0.07922821153293956,0.9982684254646301,0.001731574535369873
27,True,25.499385833740234,0.8950802087783813,22.82399559020996,0.08137092807076195,0.9985595345497131,0.0014404654502868652
28,True,29.996246337890625,0.9176493287086487,27.526033401489258,0.08342266624624078,0.998849093914032,0.0011509060859680176
29,True,34.13363265991211,0.9286999702453613,31.699905395507812,0.08442727002230557,0.9989948868751526,0.0010051131248474121
30,True,37.53578186035156,0.9228910207748413,34.64143371582031,0.08389918370680376,0.998917818069458,0.0010821819305419922
31,True,40.371952056884766,0.905803918838501,36.569068908691406,0.08234581080350009,0.9986956119537354,0.0013043880462646484
32,True,45.19753646850586,0.871934711933136,39.409297943115234,0.07926679199392145,0.998273491859436,0.0017265081405639648
33,True,49.49746322631836,0.8276848793029785,40.968299865722656,0.07524407993663441,0.9977576732635498,0.0022423267364501953
34,False,56.59461212158203,0.7132347822189331,40.36524963378906,,,
35,True,91.48504638671875,0.44936105608940125,41.10980987548828,0.040851005099036476,0.9948217272758484,0.005178272724151611
