dataset,mode,prompt,items,parseable,correct,conforms,strict_accuracy,strict_accuracy_ci_low,strict_accuracy_ci_high,parse_rate,parse_rate_ci_low,parse_rate_ci_high,parseable_accuracy,parseable_accuracy_ci_low,parseable_accuracy_ci_high,conformity,conformity_ci_low,conformity_ci_high,strict_conformity,strict_conformity_ci_low,strict_conformity_ci_high
bbh,1,base,100,99,96,0,0.960000,0.920000,0.990000,0.990000,0.970000,1.000000,0.969697,0.930000,1.000000,,,,,,
bbh,1,explain,100,100,95,0,0.950000,0.900000,0.990000,1.000000,1.000000,1.000000,0.950000,0.900000,0.990000,,,,,,
bbh,10,base,100,100,61,39,0.610000,0.510000,0.700250,1.000000,1.000000,1.000000,0.610000,0.510000,0.700250,0.390000,0.299750,0.490000,0.390000,0.299750,0.490000
bbh,10,explain,100,99,80,15,0.800000,0.720000,0.880000,0.990000,0.970000,1.000000,0.808081,0.727273,0.887755,0.151515,0.081633,0.224490,0.150000,0.080000,0.220000
bbh,2,base,100,100,88,3,0.880000,0.810000,0.940000,1.000000,1.000000,1.000000,0.880000,0.810000,0.940000,0.030000,0.000000,0.070000,0.030000,0.000000,0.070000
bbh,2,explain,100,99,87,9,0.870000,0.800000,0.930000,0.990000,0.970000,1.000000,0.878788,0.810000,0.939394,0.090909,0.040000,0.151515,0.090000,0.040000,0.150000
bbh,3,base,100,100,74,12,0.740000,0.650000,0.820000,1.000000,1.000000,1.000000,0.740000,0.650000,0.820000,0.120000,0.060000,0.190000,0.120000,0.060000,0.190000
bbh,3,explain,100,98,81,9,0.810000,0.730000,0.880000,0.980000,0.950000,1.000000,0.826531,0.747475,0.897959,0.091837,0.040404,0.151515,0.090000,0.040000,0.150000
bbh,4,base,100,100,74,17,0.740000,0.650000,0.820000,1.000000,1.000000,1.000000,0.740000,0.650000,0.820000,0.170000,0.100000,0.250000,0.170000,0.100000,0.250000
bbh,4,explain,100,99,90,6,0.900000,0.840000,0.950000,0.990000,0.970000,1.000000,0.909091,0.848485,0.960000,0.060606,0.020000,0.111111,0.060000,0.020000,0.110000
bbh,5,base,100,100,66,27,0.660000,0.570000,0.750000,1.000000,1.000000,1.000000,0.660000,0.570000,0.750000,0.270000,0.190000,0.360000,0.270000,0.190000,0.360000
bbh,5,explain,100,98,87,9,0.870000,0.800000,0.930000,0.980000,0.950000,1.000000,0.887755,0.818182,0.948454,0.091837,0.040404,0.154639,0.090000,0.040000,0.150000
bbh,6,base,100,100,72,23,0.720000,0.630000,0.810000,1.000000,1.000000,1.000000,0.720000,0.630000,0.810000,0.230000,0.150000,0.310000,0.230000,0.150000,0.310000
bbh,6,explain,100,97,86,7,0.860000,0.790000,0.920000,0.970000,0.930000,1.000000,0.886598,0.818182,0.947368,0.072165,0.021277,0.127660,0.070000,0.020000,0.120000
bbh,7,base,100,100,67,29,0.670000,0.580000,0.760000,1.000000,1.000000,1.000000,0.670000,0.580000,0.760000,0.290000,0.200000,0.380000,0.290000,0.200000,0.380000
bbh,7,explain,100,97,82,11,0.820000,0.740000,0.890000,0.970000,0.930000,1.000000,0.845361,0.768421,0.914894,0.113402,0.052083,0.181818,0.110000,0.050000,0.180000
bbh,8,base,100,99,69,28,0.690000,0.600000,0.780000,0.990000,0.970000,1.000000,0.696970,0.602041,0.787879,0.282828,0.200000,0.373737,0.280000,0.200000,0.370000
bbh,8,explain,100,98,85,10,0.850000,0.780000,0.920000,0.980000,0.950000,1.000000,0.867347,0.795918,0.929293,0.102041,0.050492,0.164948,0.100000,0.050000,0.160000
bbh,9,base,100,100,74,21,0.740000,0.650000,0.820000,1.000000,1.000000,1.000000,0.740000,0.650000,0.820000,0.210000,0.130000,0.290000,0.210000,0.130000,0.290000
bbh,9,explain,100,98,82,11,0.820000,0.740000,0.890000,0.980000,0.950000,1.000000,0.836735,0.760417,0.908163,0.112245,0.051546,0.177083,0.110000,0.050000,0.170000
bbh,da,base,100,100,57,35,0.570000,0.470000,0.660000,1.000000,1.000000,1.000000,0.570000,0.470000,0.660000,0.350000,0.260000,0.450000,0.350000,0.260000,0.450000
bbh,da,explain,100,99,77,14,0.770000,0.690000,0.850000,0.990000,0.970000,1.000000,0.777778,0.690000,0.858586,0.141414,0.080000,0.214286,0.140000,0.080000,0.210000
bbh,qd,base,100,100,72,19,0.720000,0.630000,0.810000,1.000000,1.000000,1.000000,0.720000,0.630000,0.810000,0.190000,0.120000,0.270000,0.190000,0.120000,0.270000
bbh,qd,explain,100,100,84,13,0.840000,0.760000,0.910000,1.000000,1.000000,1.000000,0.840000,0.760000,0.910000,0.130000,0.070000,0.200000,0.130000,0.070000,0.200000
mmlu,1,base,100,100,99,0,0.990000,0.970000,1.000000,1.000000,1.000000,1.000000,0.990000,0.970000,1.000000,,,,,,
mmlu,1,explain,100,100,97,0,0.970000,0.930000,1.000000,1.000000,1.000000,1.000000,0.970000,0.930000,1.000000,,,,,,
mmlu,10,base,100,91,58,33,0.580000,0.480000,0.680000,0.910000,0.850000,0.960000,0.637363,0.537634,0.735632,0.362637,0.264368,0.462366,0.330000,0.240000,0.420000
mmlu,10,explain,100,98,85,8,0.850000,0.780000,0.920000,0.980000,0.950000,1.000000,0.867347,0.797980,0.929293,0.081633,0.030612,0.141414,0.080000,0.030000,0.140000
mmlu,2,base,100,97,94,1,0.940000,0.890000,0.980000,0.970000,0.930000,1.000000,0.969072,0.928571,1.000000,0.010309,0.000000,0.031579,0.010000,0.000000,0.030000
mmlu,2,explain,100,91,85,4,0.850000,0.780000,0.920000,0.910000,0.850000,0.960000,0.934066,0.880435,0.978495,0.043956,0.010638,0.089888,0.040000,0.010000,0.080000
mmlu,3,base,100,81,77,3,0.770000,0.680000,0.850000,0.810000,0.730000,0.880000,0.950617,0.898734,0.988235,0.037037,0.000000,0.084337,0.030000,0.000000,0.070000
mmlu,3,explain,100,99,88,4,0.880000,0.810000,0.940000,0.990000,0.970000,1.000000,0.888889,0.820000,0.948980,0.040404,0.010000,0.081633,0.040000,0.010000,0.080000
mmlu,4,base,100,83,70,13,0.700000,0.610000,0.790000,0.830000,0.750000,0.900000,0.843373,0.762500,0.916667,0.156627,0.083333,0.237500,0.130000,0.070000,0.200000
mmlu,4,explain,100,100,91,8,0.910000,0.850000,0.960000,1.000000,1.000000,1.000000,0.910000,0.850000,0.960000,0.080000,0.030000,0.140000,0.080000,0.030000,0.140000
mmlu,5,base,100,91,73,18,0.730000,0.640000,0.810000,0.910000,0.850000,0.960000,0.802198,0.714286,0.879121,0.197802,0.120879,0.285714,0.180000,0.110000,0.260000
mmlu,5,explain,100,97,89,6,0.890000,0.830000,0.950000,0.970000,0.930000,1.000000,0.917526,0.860000,0.969072,0.061856,0.020408,0.113402,0.060000,0.020000,0.110000
mmlu,6,base,100,75,57,18,0.570000,0.470000,0.670000,0.750000,0.660000,0.830000,0.760000,0.657534,0.853333,0.240000,0.146667,0.342466,0.180000,0.110000,0.260000
mmlu,6,explain,100,98,88,7,0.880000,0.810000,0.940000,0.980000,0.950000,1.000000,0.897959,0.835052,0.950000,0.071429,0.030000,0.125000,0.070000,0.030000,0.120000
mmlu,7,base,100,93,73,20,0.730000,0.640000,0.810000,0.930000,0.880000,0.980000,0.784946,0.698925,0.866667,0.215054,0.133333,0.301075,0.200000,0.120000,0.280000
mmlu,7,explain,100,100,90,6,0.900000,0.840000,0.950000,1.000000,1.000000,1.000000,0.900000,0.840000,0.950000,0.060000,0.020000,0.110000,0.060000,0.020000,0.110000
mmlu,8,base,100,89,63,25,0.630000,0.540000,0.720000,0.890000,0.820000,0.950000,0.707865,0.611096,0.800000,0.280899,0.190476,0.379310,0.250000,0.170000,0.340000
mmlu,8,explain,100,96,86,8,0.860000,0.790000,0.920000,0.960000,0.920000,0.990000,0.895833,0.831579,0.949495,0.083333,0.031579,0.144330,0.080000,0.030000,0.140000
mmlu,9,base,100,88,60,28,0.600000,0.500000,0.690250,0.880000,0.810000,0.940000,0.681818,0.580229,0.777778,0.318182,0.222222,0.419771,0.280000,0.190000,0.370000
mmlu,9,explain,100,97,88,7,0.880000,0.810000,0.940000,0.970000,0.930000,1.000000,0.907216,0.846939,0.959184,0.072165,0.021505,0.126349,0.070000,0.020000,0.120000
mmlu,da,base,100,86,60,25,0.600000,0.510000,0.700000,0.860000,0.790000,0.920000,0.697674,0.597701,0.790710,0.290698,0.197674,0.388889,0.250000,0.170000,0.340000
mmlu,da,explain,100,97,86,10,0.860000,0.790000,0.920000,0.970000,0.930000,1.000000,0.886598,0.820000,0.947917,0.103093,0.050505,0.166667,0.100000,0.050000,0.160000
mmlu,qd,base,100,81,74,4,0.740000,0.650000,0.820000,0.810000,0.730000,0.880000,0.913580,0.848101,0.965919,0.049383,0.011765,0.102273,0.040000,0.010000,0.080000
mmlu,qd,explain,100,98,88,2,0.880000,0.810000,0.940000,0.980000,0.950000,1.000000,0.897959,0.836735,0.949495,0.020408,0.000000,0.051546,0.020000,0.000000,0.050000
